title,vote_count,genres,popularity,id,vote_average,Weighted_Rating
Warrior,1297.0,"['Action', 'Drama']",13.121626,59440,7.7,7.178048487214463
Seven Pounds,2092.0,['Drama'],21.708267,11321,7.5,7.1766832665749165
Frozen,5440.0,"['Animation', 'Adventure', 'Family']",24.248243,109445,7.3,7.175740880382744
The Exorcist,2046.0,"['Drama', 'Horror', 'Thriller']",12.137595,9552,7.5,7.170686262648483
North by Northwest,1062.0,"['Mystery', 'Thriller']",12.410427,213,7.8,7.167046745567003
Boyhood,2008.0,['Drama'],6.430591,85350,7.5,7.1655618064571
The Princess Bride,1518.0,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",15.15267,2493,7.6,7.1593759894304485
Annie Hall,1044.0,"['Comedy', 'Drama', 'Romance']",18.146043,703,7.8,7.1593382485576695
Life of Brian,1230.0,['Comedy'],10.714173,583,7.7,7.157032410678027
Black Swan,4562.0,"['Drama', 'Thriller']",12.989056,44214,7.3,7.153903509080912
Dawn of the Planet of the Apes,4511.0,"['Science Fiction', 'Action', 'Drama', 'Thriller']",75.385211,119450,7.3,7.152396750529471
Mystic River,1473.0,"['Thriller', 'Crime', 'Drama', 'Mystery']",12.602438,322,7.6,7.148978464272803
The Iron Giant,1470.0,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",15.441459,10386,7.6,7.148267821096763
Avatar,12114.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",185.070892,19995,7.2,7.145290239987905
Furious 7,4253.0,['Action'],27.275687,168259,7.3,7.144271801017331
Shrek,4183.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",17.987728,808,7.3,7.141910749700722
Gattaca,1846.0,"['Thriller', 'Science Fiction', 'Mystery', 'Romance']",12.89312,782,7.5,7.141799092705367
Rocky,1843.0,['Drama'],14.774066,1366,7.5,7.1413271547510915
The Untouchables,1424.0,"['Crime', 'Drama', 'History', 'Thriller']",11.062203,117,7.6,7.137083924310137
For a Few Dollars More,988.0,['Western'],13.295342,938,7.8,7.134108249907339
The Fifth Element,3962.0,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",24.30526,18,7.3,7.133963132704331
Twelve Monkeys,2470.0,"['Science Fiction', 'Thriller', 'Mystery']",12.297305,63,7.4,7.133712786283828
Casino Royale,3930.0,"['Adventure', 'Action', 'Thriller']",23.065078,36557,7.3,7.132745630469349
Toy Story 2,3914.0,"['Animation', 'Comedy', 'Family']",17.547693,863,7.3,7.132130159008334
The Great Gatsby,3885.0,"['Drama', 'Romance']",17.598936,64682,7.3,7.131002994065348
Unforgiven,1133.0,['Western'],10.942149,33,7.7,7.123421781345397
